       z/Rp        rho(g/cc)        P(bar)         T(K)
    1.03258e+00    2.16018e-08    2.15443e-03    2.78258e+03
    1.03388e+00    1.85278e-08    1.83074e-03    2.75681e+03
    1.03517e+00    1.59064e-08    1.55568e-03    2.72867e+03
    1.03644e+00    1.36690e-08    1.32194e-03    2.69824e+03
    1.03769e+00    1.17474e-08    1.12332e-03    2.66789e+03
    1.03894e+00    1.00933e-08    9.54548e-04    2.63857e+03
    1.04017e+00    8.66979e-09    8.11131e-04    2.61028e+03
    1.04138e+00    7.44495e-09    6.89261e-04    2.58301e+03
    1.04258e+00    6.39128e-09    5.85702e-04    2.55678e+03
    1.04377e+00    5.48509e-09    4.97702e-04    2.53157e+03
    1.04495e+00    4.70592e-09    4.22924e-04    2.50739e+03
    1.04612e+00    4.03613e-09    3.59381e-04    2.48425e+03
    1.04728e+00    3.46053e-09    3.05386e-04    2.46213e+03
    1.04842e+00    2.96600e-09    2.59502e-04    2.44104e+03
    1.04956e+00    2.54126e-09    2.20513e-04    2.42097e+03
    1.05069e+00    2.17655e-09    1.87382e-04    2.40194e+03
    1.05181e+00    1.86350e-09    1.59228e-04    2.38394e+03
    1.05292e+00    1.59487e-09    1.35305e-04    2.36696e+03
    1.05402e+00    1.36444e-09    1.14976e-04    2.35102e+03
    1.05511e+00    1.16684e-09    9.77010e-05    2.33610e+03
    1.05620e+00    9.97459e-10    8.30218e-05    2.32221e+03
    1.05728e+00    8.52314e-10    7.05480e-05    2.30935e+03
    1.05836e+00    7.27986e-10    5.99484e-05    2.29752e+03
    1.05943e+00    6.21531e-10    5.09414e-05    2.28671e+03
    1.06049e+00    5.30415e-10    4.32876e-05    2.27694e+03
    1.06155e+00    4.52460e-10    3.67838e-05    2.26820e+03
    1.06261e+00    3.85792e-10    3.12572e-05    2.26048e+03
    1.06366e+00    3.28801e-10    2.65609e-05    2.25379e+03
    1.06471e+00    2.80103e-10    2.25702e-05    2.24813e+03
    1.06576e+00    2.39058e-10    1.91791e-05    2.23836e+03
    1.06680e+00    2.03467e-10    1.62975e-05    2.23476e+03
    1.06784e+00    1.73096e-10    1.38489e-05    2.23219e+03
    1.06888e+00    1.47191e-10    1.17681e-05    2.23064e+03
    1.06993e+00    1.25105e-10    1.00000e-05    2.23013e+03
