       z/Rp        rho(g/cc)        P(bar)         T(K) 
    9.94468e-01    1.93588e-06    2.05651e-01    2.96385e+03
    9.95851e-01    1.64558e-06    1.74753e-01    2.96285e+03
    9.97234e-01    1.39896e-06    1.48497e-01    2.96153e+03
    9.98618e-01    1.18940e-06    1.26186e-01    2.95996e+03
    1.00000e+00    1.01163e-06    1.07227e-01    2.95723e+03
    1.00138e+00    8.61826e-07    9.11163e-02    2.94972e+03
    1.00276e+00    7.35378e-07    7.74264e-02    2.93753e+03
    1.00414e+00    6.28480e-07    6.57933e-02    2.92075e+03
    1.00552e+00    5.37971e-07    5.59081e-02    2.89948e+03
    1.00689e+00    4.61227e-07    4.75081e-02    2.87380e+03
    1.00826e+00    3.96027e-07    4.03702e-02    2.84407e+03
    1.00961e+00    3.40543e-07    3.43047e-02    2.81051e+03
    1.01093e+00    2.93273e-07    2.91505e-02    2.77319e+03
    1.01222e+00    2.52954e-07    2.47708e-02    2.73213e+03
    1.01350e+00    2.18526e-07    2.10490e-02    2.68740e+03
    1.01475e+00    1.89029e-07    1.78865e-02    2.63998e+03
    1.01598e+00    1.63502e-07    1.51991e-02    2.59358e+03
    1.01719e+00    1.41411e-07    1.29155e-02    2.54820e+03
    1.01837e+00    1.22293e-07    1.09750e-02    2.50384e+03
    1.01954e+00    1.05749e-07    9.32603e-03    2.46050e+03
    1.02069e+00    9.14337e-08    7.92483e-03    2.41818e+03
    1.02181e+00    7.90462e-08    6.73415e-03    2.37687e+03
    1.02292e+00    6.83278e-08    5.72237e-03    2.33659e+03
    1.02401e+00    5.90541e-08    4.86260e-03    2.29733e+03
    1.02508e+00    5.10309e-08    4.13201e-03    2.25909e+03
    1.02613e+00    4.40901e-08    3.51119e-03    2.22186e+03
    1.02716e+00    3.80863e-08    2.98365e-03    2.18566e+03
    1.02818e+00    3.28935e-08    2.53536e-03    2.15048e+03
    1.02918e+00    2.84026e-08    2.15443e-03    2.11631e+03
    1.03017e+00    2.45192e-08    1.83074e-03    2.08317e+03
    1.03114e+00    2.11616e-08    1.55568e-03    2.05105e+03
    1.03209e+00    1.82590e-08    1.32194e-03    2.01994e+03
    1.03303e+00    1.57502e-08    1.12332e-03    1.98986e+03
    1.03396e+00    1.35822e-08    9.54548e-04    1.96079e+03
    1.03487e+00    1.17090e-08    8.11131e-04    1.93275e+03
    1.03577e+00    1.00909e-08    6.89261e-04    1.90572e+03
    1.03666e+00    8.69337e-09    5.85702e-04    1.87972e+03
    1.03753e+00    7.48674e-09    4.97702e-04    1.85473e+03
    1.03839e+00    6.44516e-09    4.22924e-04    1.83077e+03
    1.03925e+00    5.54631e-09    3.59381e-04    1.80782e+03
    1.04009e+00    4.77086e-09    3.05386e-04    1.78590e+03
    1.04092e+00    4.10207e-09    2.59502e-04    1.76499e+03
    1.04174e+00    3.52547e-09    2.20513e-04    1.74510e+03
    1.04255e+00    3.02852e-09    1.87382e-04    1.72624e+03
    1.04335e+00    2.60038e-09    1.59228e-04    1.70839e+03
