P  Best Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
     0.034673685       1274.7949       1726.4667       1480.3098       1807.0070       1320.1498       1826.8690
     0.028840315       1241.6997       1704.0995       1459.8329       1804.9352       1295.3203       1825.3203
     0.023988329       1210.3302       1678.5022       1438.0450       1802.0896       1254.0162       1823.6161
     0.019952623       1181.2851       1652.7448       1412.1354       1798.5207       1237.5107       1823.0119
     0.016595869       1154.5844       1627.2384       1392.7872       1794.9725       1216.5066       1820.6609
     0.013803843       1130.2066       1602.0526       1373.6852       1789.7200       1188.7898       1819.4047
     0.011481536       1107.7735       1578.4529       1347.5956       1779.4575       1173.4090       1814.9687
    0.0095499259       1087.5396       1560.6658       1331.9308       1765.3948       1154.7358       1808.3390
    0.0079432823       1069.5885       1537.9094       1323.4415       1748.8205       1116.8606       1802.0691
    0.0066069345       1053.7529       1522.1504       1302.3924       1731.1577       1097.7602       1795.7703
    0.0054954087       1039.8606       1508.4977       1285.4419       1710.0053       1078.4007       1788.6246
    0.0045708819       1027.6493       1493.5957       1267.9359       1688.5637       1047.8661       1778.0681
    0.0038018940       1017.0570       1474.3875       1258.7611       1665.0584       1025.1151       1762.1810
    0.0031622777       1007.9573       1465.2273       1239.9118       1643.0611       1009.5547       1744.2142
    0.0026302680       1000.1681       1450.6550       1225.1608       1617.1353       994.42009       1723.6212
    0.0021877616       993.52384       1433.7678       1204.2108       1593.5781       969.56267       1708.1745
    0.0018197009       987.85759       1418.6775       1194.4664       1575.0358       959.52723       1686.8357
    0.0015135612       983.05871       1408.7966       1175.4918       1561.5741       946.71426       1664.7663
    0.0012589254       979.01311       1396.6347       1166.2990       1549.4089       935.60685       1642.7756
    0.0010471285       975.60886       1386.0428       1151.0305       1534.8306       925.98374       1623.4020
   0.00087096359       972.74937       1374.8164       1139.8713       1523.6334       917.73783       1598.6305
   0.00072443596       970.34890       1368.6557       1126.4775       1515.1090       910.64380       1587.7720
   0.00060255959       968.33983       1359.7908       1112.3988       1510.1001       902.61432       1574.7328
   0.00050118723       966.66146       1352.3315       1100.7377       1502.2263       900.62439       1562.7499
   0.00041686938       965.26054       1343.7767       1094.5273       1493.3603       895.16793       1552.0168
   0.00034673685       964.09216       1338.5546       1087.5832       1490.8326       891.50678       1545.2044
   0.00028840315       963.11826       1331.2195       1082.0470       1487.4785       888.42236       1539.8390
   0.00023988329       962.30738       1328.1278       1078.9286       1486.5499       885.83287       1537.5193
   0.00019952623       961.63264       1323.2698       1074.4796       1483.3039       879.08741       1536.2795
   0.00016595869       961.07140       1320.6161       1066.3078       1479.1193       869.49448       1536.0176
   0.00013803843       960.60473       1315.9267       1062.9498       1480.6839       863.48116       1536.0686
   0.00011481536       960.21690       1313.1304       1062.8001       1481.0165       858.80014       1536.5736
   9.5499259e-05       959.89468       1311.1056       1059.9617       1477.7182       855.74536       1538.6424
   7.9432823e-05       959.62700       1309.5252       1055.3075       1477.1397       853.99332       1541.1132
   6.6069345e-05       959.40467       1309.3242       1053.7516       1477.6741       850.04902       1543.9290
   5.4954087e-05       959.22003       1309.2714       1052.4554       1477.4034       846.89242       1546.3254
   4.5708819e-05       959.06677       1309.2655       1051.3766       1477.9878       845.04057       1546.3316
   3.8018940e-05       958.93955       1309.2610       1048.7349       1478.9121       841.12200       1546.3369
   3.1622777e-05       958.83394       1309.2577       1047.4508       1478.8299       837.81048       1546.3415
   2.6302680e-05       958.74627       1309.2552       1045.1525       1480.8029       835.01943       1546.3455
   2.1877616e-05       958.67350       1309.2534       1043.3580       1481.7039       833.92337       1546.3489
   1.8197009e-05       958.61313       1309.2522       1043.2658       1481.7554       833.84703       1546.3518
   1.5135612e-05       958.56303       1309.2513       1043.1896       1481.7580       833.78356       1546.3543
   1.2589254e-05       958.52146       1309.2508       1043.1265       1481.7603       833.32405       1547.0521
   1.0471285e-05       958.48696       1309.2504       1043.0743       1482.1608       832.63572       1547.1316
   8.7096359e-06       958.45833       1309.2502       1043.0313       1482.3030       832.40501       1547.2012
   7.2443596e-06       958.43458       1309.2502       1042.2905       1482.9589       831.94080       1547.2627
   6.0255959e-06       958.41487       1309.2502       1041.5218       1483.5454       831.55448       1547.3162
   5.0118723e-06       958.39852       1309.2503       1041.3514       1484.0749       831.23306       1547.3626
   4.1686938e-06       958.38496       1309.2504       1041.2984       1484.5417       830.96568       1547.5906
   3.4673685e-06       958.37370       1309.2506       1041.2543       1484.8230       830.74331       1547.9714
   2.8840315e-06       958.36437       1309.2507       1041.2178       1484.8303       830.55842       1548.2067
   2.3988329e-06       958.35662       1309.2509       1041.1875       1484.8358       830.40470       1548.2468
