#Source directory:   /home/jasmina/Work/TEA/TEA-APJSupp-paper/TEA-paper-runs/test-compendium/WASP-43b-comp/CEA-outputs/
#Pressure    Temp       *H            *CO           *CO2          CH4           H2O           HCN           C2H4          *N2           NH3           H2S           
0.54954087   1761.10    3.2008e-4     4.5956e-4     5.5390e-8     7.1192e-8     3.7682e-4     8.0689e-9     6.285e-14     5.7682e-5     1.0504e-7     2.2495e-5     
0.66069345   1775.37    3.3048e-4     4.5954e-4     5.4541e-8     9.1038e-8     3.7684e-4     9.6765e-9     9.611e-14     5.7673e-5     1.2245e-7     2.2495e-5     
0.79432823   1786.63    3.3193e-4     4.5950e-4     5.3893e-8     1.1963e-7     3.7688e-4     1.1609e-8     1.512e-13     5.7657e-5     1.4372e-7     2.2496e-5     
0.95499259   1794.95    3.2487e-4     4.5946e-4     5.3426e-8     1.6128e-7     3.7693e-4     1.3934e-8     2.443e-13     5.7643e-5     1.6977e-7     2.2498e-5     
1.14815360   1800.58    3.1067e-4     4.5940e-4     5.3116e-8     2.2243e-7     3.7700e-4     1.6731e-8     4.041e-13     5.7626e-5     2.0171e-7     2.2500e-5     
1.38038430   1803.74    2.9092e-4     4.5931e-4     5.2945e-8     3.1314e-7     3.7709e-4     2.0093e-8     6.830e-13     5.7605e-5     2.4089e-7     2.2502e-5     
1.65958690   1805.28    2.6877e-4     4.5918e-4     5.2864e-8     4.4665e-7     3.7724e-4     2.4131e-8     1.170e-12     5.7580e-5     2.8864e-7     2.2504e-5     
1.99526230   1806.13    2.4686e-4     4.5899e-4     5.2823e-8     6.4059e-7     3.7744e-4     2.8973e-8     2.015e-12     5.7549e-5     3.4634e-7     2.2516e-5     
2.39883290   1806.53    2.2590e-4     4.5870e-4     5.2809e-8     9.2166e-7     3.7773e-4     3.4773e-8     3.480e-12     5.7512e-5     4.1592e-7     2.2516e-5     
2.88403150   1806.72    2.0635e-4     4.5830e-4     5.2809e-8     1.3275e-6     3.7815e-4     4.1707e-8     6.013e-12     5.7467e-5     4.9967e-7     2.2516e-5     
3.46736850   1806.85    1.8839e-4     4.5771e-4     5.2816e-8     1.9116e-6     3.7874e-4     4.9977e-8     1.038e-11     5.7413e-5     6.0032e-7     2.2516e-5     
4.16869380   1806.98    1.7200e-4     4.5687e-4     5.2829e-8     2.7490e-6     3.7959e-4     5.9807e-8     1.787e-11     5.7349e-5     7.2116e-7     2.2517e-5     
